company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Warner Bros.,USA,Ridley Scott,Action,70000000,39394666,185521,Body of Lies,R,10/10/2008,128,7.1,Leonardo DiCaprio,William Monahan,2008
DreamWorks Animation,USA,Mark Osborne,Animation,130000000,215434591,339024,Kung Fu Panda,PG,6/6/2008,92,7.6,Jack Black,Jonathan Aibel,2008
Paramount Pictures,USA,Mark Waters,Adventure,90000000,71195053,74370,The Spiderwick Chronicles,PG,2/14/2008,96,6.6,Freddie Highmore,Karey Kirkpatrick,2008
Blue Askew,USA,Kevin Smith,Comedy,24000000,31457946,156855,Zack and Miri Make a Porno,R,10/31/2008,101,6.6,Seth Rogen,Kevin Smith,2008
Twentieth Century Fox Film Corporation,USA,M. Night Shyamalan,Comedy,48000000,64506874,173949,The Happening,R,6/13/2008,91,5,Mark Wahlberg,M. Night Shyamalan,2008
Metro-Goldwyn-Mayer (MGM),USA,Bryan Singer,Drama,75000000,83077833,197529,Valkyrie,PG-13,12/25/2008,121,7.1,Tom Cruise,Christopher McQuarrie,2008
The Weinstein Company,USA,Stephen Daldry,Drama,32000000,34194407,202175,The Reader,R,1/30/2009,124,7.6,Kate Winslet,David Hare,2008
Walt Disney Pictures,USA,Andrew Adamson,Action,225000000,141621490,162829,The Chronicles of Narnia: Prince Caspian,PG,5/16/2008,150,6.6,Ben Barnes,Andrew Adamson,2008
Lionsgate,Germany,Sylvester Stallone,Action,50000000,42754105,189986,Rambo 4: Regreso al Infierno,R,1/25/2008,92,7,Sylvester Stallone,Art Monterastelli,2008
Warner Bros.,USA,Andy Tennant,Action,70000000,70231041,64098,Fool's Gold,PG-13,2/8/2008,112,5.7,Matthew McConaughey,John Claflin,2008
Warner Bros.,USA,Peter Segal,Action,80000000,130319208,176842,Get Smart,PG-13,6/20/2008,110,6.5,Steve Carell,Tom J. Astle,2008
Columbia Pictures,USA,Gabriele Muccino,Drama,55000000,69951824,249856,Seven Pounds,PG-13,12/19/2008,123,7.7,Will Smith,Grant Nieporte,2008
Universal Pictures,Germany,David Wain,Comedy,28000000,67294270,202096,Un par nada ejemplar,R,11/7/2008,99,6.9,Paul Rudd,Timothy Dowling,2008
Twentieth Century Fox Film Corporation,USA,Doug Liman,Action,85000000,80172128,256451,Jumper,PG-13,2/14/2008,88,6.1,Hayden Christensen,David S. Goyer,2008
EFTI,Sweden,Tomas Alfredson,Drama,4000000,2122065,183463,Let the Right One In,R,12/12/2008,115,7.9,Kåre Hedebrant,John Ajvide Lindqvist,2008
Summit Entertainment,USA,Jeff Wadlow,Action,20000000,24850922,85496,Never Back Down,PG-13,3/14/2008,110,6.6,Sean Faris,Chris Hauty,2008
Columbia Pictures,UK,Justin Chadwick,Biography,35000000,26814957,89728,The Other Boleyn Girl,PG-13,2/29/2008,115,6.7,Natalie Portman,Peter Morgan,2008
Rogue Pictures,UK,Neil Marshall,Action,30000000,10955425,65516,Doomsday,R,3/14/2008,113,6,Rhona Mitra,Neil Marshall,2008
Focus Features,USA,Ethan Coen,Comedy,37000000,60355347,264758,Burn After Reading,R,9/12/2008,96,7,Brad Pitt,Joel Coen,2008
The Weinstein Company,USA,Howard McCain,Action,50000000,160641,66198,Outlander,R,4/1/2010,115,6.3,Jim Caviezel,Dirk Blackman,2008
Universal Pictures,UK,Adam Brooks,Comedy,0,31973840,135220,"Definitely, Maybe",PG-13,2/14/2008,112,7.2,Ryan Reynolds,Adam Brooks,2008
Columbia Pictures,USA,Dennis Dugan,Action,90000000,100018837,166095,You Don't Mess with the Zohan,PG-13,6/6/2008,113,5.5,Adam Sandler,Adam Sandler,2008
Imagine Entertainment,USA,Clint Eastwood,Biography,55000000,35739802,209863,Changeling,R,10/31/2008,141,7.8,Angelina Jolie,J. Michael Straczynski,2008
Mosaic Media Group,UK,Roger Donaldson,Crime,20000000,30028592,158842,The Bank Job,R,3/7/2008,111,7.3,Jason Statham,Dick Clement,2008
Abandon Entertainment,Canada,John Moore,Action,35000000,40689393,112236,Max Payne,PG-13,10/17/2008,100,5.4,Mark Wahlberg,Beau Thorne,2008
New Line Cinema,USA,Eric Brevig,Action,45000000,101704370,93923,Journey to the Center of the Earth,PG,7/11/2008,93,5.8,Brendan Fraser,Michael D. Weiss,2008
Summit Entertainment,USA,Sean Anders,Adventure,19000000,8402485,75976,Sex Drive,R,10/17/2008,109,6.5,Josh Zuckerman,Sean Anders,2008
Columbia Pictures,USA,Paul Weiland,Comedy,40000000,46012734,58284,Made of Honor,PG-13,5/2/2008,101,5.9,Patrick Dempsey,Adam Sztykiel,2008
Universal Pictures,USA,Paul W.S. Anderson,Action,45000000,36316032,176350,Death Race,R,8/22/2008,105,6.4,Jason Statham,Paul W.S. Anderson,2008
Warner Bros.,USA,Peyton Reed,Comedy,70000000,97690976,289261,Yes Man,PG-13,12/19/2008,104,6.8,Jim Carrey,Nicholas Stoller,2008
Universal Pictures,USA,Nick Moore,Comedy,20000000,19780,40439,Wild Child,PG-13,11/28/2008,98,6.1,Emma Roberts,Lucy Dahl,2008
Walt Disney Animation Studios,USA,Byron Howard,Animation,150000000,114053579,158580,Bolt,PG,11/21/2008,96,6.9,John Travolta,Dan Fogelman,2008
Twisted Pictures,USA,David Hackl,Horror,10800000,56746769,95765,Saw V,R,10/24/2008,92,5.8,Scott Patterson,Patrick Melton,2008
Fox Atomic,USA,Peter Cattaneo,Comedy,15000000,6409528,33768,The Rocker,PG-13,8/20/2008,102,6.2,Rainn Wilson,Maya Forbes,2008
Focus Features,USA,Gus Van Sant,Biography,20000000,31841299,145398,Milk,R,1/30/2009,128,7.6,Sean Penn,Dustin Lance Black,2008
Babylon,France,Mathieu Kassovitz,Action,70000000,22531698,85627,Babylon A.D.,PG-13,8/29/2008,101,5.6,Vin Diesel,Maurice G. Dantec,2008
Twentieth Century Fox Film Corporation,USA,Tom Vaughan,Comedy,35000000,80277646,149018,What Happens in Vegas,PG-13,5/9/2008,99,6.1,Cameron Diaz,Dana Fox,2008
Studio Ghibli,Japan,Hayao Miyazaki,Animation,34000000,15090400,94663,Ponyo,G,8/14/2009,101,7.7,Cate Blanchett,Hayao Miyazaki,2008
Lionsgate,USA,Oliver Stone,Biography,25100000,25534493,42504,W.,PG-13,10/17/2008,129,6.3,Josh Brolin,Stanley Weiser,2008
Warner Bros.,USA,Roland Emmerich,Action,105000000,94784201,114171,"10,000 BC",PG-13,3/7/2008,109,5.1,Camilla Belle,Roland Emmerich,2008
Fox 2000 Pictures,USA,David Frankel,Comedy,60000000,143153751,125638,Marley & Me,PG,12/25/2008,100,7.1,Owen Wilson,Scott Frank,2008
Film4,Ireland,Steve McQueen,Biography,0,154084,56117,Hunger,NOT RATED,9/10/2010,96,7.6,Stuart Graham,Enda Walsh,2008
Twentieth Century Fox Film Corporation,UK,Baz Luhrmann,Adventure,130000000,49554002,107593,Australia,PG-13,11/26/2008,165,6.6,Nicole Kidman,Stuart Beattie,2008
Warner Bros.,USA,Lana Wachowski,Action,120000000,43945766,61086,Speed Racer,PG,5/9/2008,135,6,Emile Hirsch,Lilly Wachowski,2008
Paramount Vantage,UK,Saul Dibb,Biography,0,13823741,66399,The Duchess,PG-13,10/10/2008,110,6.9,Keira Knightley,Jeffrey Hatcher,2008
Lionsgate,USA,Frank Miller,Action,60000000,19781879,55602,The Spirit,PG-13,12/25/2008,103,4.8,Gabriel Macht,Frank Miller,2008
Paramount Vantage,USA,Edward Zwick,Action,32000000,28644813,123415,Defiance,R,1/16/2009,137,7.2,Daniel Craig,Clayton Frohman,2008
Picturehouse,USA,Diane English,Comedy,16500000,26902075,17778,The Women,PG-13,9/12/2008,114,4.9,Meg Ryan,Diane English,2008
DreamWorks,USA,D.J. Caruso,Action,80000000,101111837,158402,Eagle Eye,PG-13,9/26/2008,118,6.6,Shia LaBeouf,John Glenn,2008
New Line Cinema,USA,Jon Hurwitz,Adventure,12000000,38087366,119141,Harold & Kumar Escape from Guantanamo Bay,R,4/25/2008,107,6.6,John Cho,Jon Hurwitz,2008
Sidney Kimmel Entertainment,USA,Charlie Kaufman,Comedy,21000000,3081925,63483,"Synecdoche, New York",R,11/21/2008,124,7.5,Philip Seymour Hoffman,Charlie Kaufman,2008
Goodspeed Productions,USA,John Patrick Shanley,Drama,20000000,33422556,105844,Doubt,PG-13,12/25/2008,104,7.5,Meryl Streep,John Patrick Shanley,2008
Regency Enterprises,USA,Alexandre Aja,Horror,35000000,30691439,91597,Mirrors,R,8/15/2008,110,6.2,Kiefer Sutherland,Alexandre Aja,2008
Twentieth Century Fox Film Corporation,USA,Scott Derrickson,Drama,80000000,79366978,146633,The Day the Earth Stood Still,PG-13,12/12/2008,104,5.5,Keanu Reeves,David Scarpa,2008
Blue Sky Studios,USA,Jimmy Hayward,Animation,85000000,154529439,113151,Horton Hears a Who!,G,3/14/2008,86,6.8,Jim Carrey,Ken Daurio,2008
Touchstone Pictures,USA,Jon M. Chu,Drama,17500000,58017783,71816,Step Up 2: The Streets,PG-13,2/14/2008,98,6.2,Robert Hoffman,Toni Ann Johnson,2008
Lionsgate,USA,Jason Friedberg,Comedy,20000000,14190901,78142,Disaster Movie,PG-13,8/29/2008,87,1.9,Carmen Electra,Jason Friedberg,2008
Walt Disney Pictures,USA,Kenny Ortega,Comedy,11000000,90559416,47545,High School Musical 3: Senior Year,G,10/24/2008,112,4.6,Zac Efron,Peter Barsocchini,2008
Walden Media,USA,Jennifer Flackett,Adventure,37000000,48006503,29611,Nim's Island,PG,4/4/2008,96,6,Jodie Foster,Joseph Kwong,2008
New Line Cinema,Germany,Iain Softley,Adventure,60000000,17303424,64411,El libro mágico,PG,1/23/2009,106,6.1,Brendan Fraser,David Lindsay-Abaire,2008
DreamWorks Animation,USA,Eric Darnell,Animation,150000000,180010950,162026,Madagascar: Escape 2 Africa,PG,11/7/2008,89,6.7,Ben Stiller,Etan Cohen,2008
Casey Silver Productions,USA,Rob Minkoff,Action,55000000,52075270,92275,The Forbidden Kingdom,PG-13,4/18/2008,104,6.6,Jackie Chan,John Fusco,2008
DreamWorks,USA,Carter Smith,Horror,8000000,17432844,62603,The Ruins,R,4/4/2008,90,5.9,Shawn Ashmore,Scott B. Smith,2008
EuropaCorp,France,Olivier Megaton,Action,30000000,31715062,136246,El transportador 3,PG-13,11/26/2008,104,6.1,Jason Statham,Luc Besson,2008
Fox Searchlight Pictures,USA,David Ayer,Action,20000000,26415649,98463,Street Kings,R,4/11/2008,109,6.8,Keanu Reeves,James Ellroy,2008
New Line Cinema,USA,Kent Alterman,Comedy,55000000,33472850,70423,Semi-Pro,R,2/29/2008,91,5.8,Will Ferrell,Scot Armstrong,2008
New Regency Pictures,USA,Jason Friedberg,Comedy,30000000,38233676,92856,Meet the Spartans,PG-13,1/25/2008,86,2.7,Sean Maguire,Jason Friedberg,2008
Columbia Pictures,USA,Pete Travis,Crime,40000000,72266306,132882,Vantage Point,PG-13,2/22/2008,90,6.6,Dennis Quaid,Barry L. Levy,2008
Stage 6 Films,USA,Ric Roman Waugh,Crime,2900000,36756,68957,Felon,R,7/17/2008,104,7.5,Stephen Dorff,Ric Roman Waugh,2008
Screen Gems,USA,Peter Sollett,Comedy,9000000,31487293,78985,Nick and Norah's Infinite Playlist,PG-13,10/3/2008,90,6.7,Michael Cera,Lorene Scafaria,2008
Playtone,USA,Gil Kenan,Adventure,55000000,7873007,56120,City of Ember,PG,10/10/2008,90,6.5,Saoirse Ronan,Caroline Thompson,2008
Walt Disney Pictures,USA,Adam Shankman,Comedy,80000000,110101975,76733,Bedtime Stories,PG,12/25/2008,99,6.1,Adam Sandler,Matt Lopez,2008
Screen Gems,USA,John Erick Dowdle,Horror,12000000,31691811,61042,Quarantine,R,10/10/2008,89,6,Jennifer Carpenter,John Erick Dowdle,2008
New Line Cinema,USA,Gavin O'Connor,Crime,30000000,15709385,55020,Pride and Glory,R,10/24/2008,130,6.7,Edward Norton,Joe Carnahan,2008
New Line Cinema,UK,Michel Gondry,Comedy,20000000,11169531,82776,Be Kind Rewind,PG-13,2/22/2008,102,6.4,Jack Black,Michel Gondry,2008
TriStar Pictures,USA,Rodrigo García,Drama,25000000,270659,29805,Passengers,PG-13,10/24/2008,93,5.9,Anne Hathaway,Ronnie Christensen,2008
Fox Searchlight Pictures,USA,Gina Prince-Bythewood,Drama,11000000,37766350,21142,The Secret Life of Bees,PG-13,10/17/2008,114,7.3,Dakota Fanning,Gina Prince-Bythewood,2008
New Line Cinema,USA,Ed Harris,Crime,20000000,20207003,52814,Appaloosa,R,10/3/2008,115,6.8,Ed Harris,Robert Knott,2008
Good Dick,USA,Marianna Palka,Comedy,0,15542,6977,Good Dick,R,10/3/2008,86,6.4,Marianna Palka,Marianna Palka,2008
Davis Entertainment,USA,Gary Fleder,Biography,40000000,9589875,17510,The Express,PG,10/10/2008,130,7.3,Rob Brown,Charles Leavitt,2008
Overture Films,USA,Christine Jeffs,Comedy,8000000,12062558,63616,Sunshine Cleaning,R,4/17/2009,91,6.9,Amy Adams,Megan Holley,2008
Screen Gems,USA,Neil LaBute,Crime,22000000,39263506,42915,Lakeview Terrace,PG-13,9/19/2008,110,6.1,Samuel L. Jackson,David Loughery,2008
Universal Pictures,USA,Ron Howard,Biography,25000000,18593156,92248,Frost/Nixon,R,1/23/2009,122,7.7,Frank Langella,Peter Morgan,2008
Yari Film Group (YFG),USA,Rod Lurie,Crime,11500000,3045,32290,Nothing But the Truth,R,7/29/2009,108,7.2,Kate Beckinsale,Rod Lurie,2008
Alliance,USA,Nelson McCormick,Horror,20000000,43869350,29352,Prom Night,PG-13,4/11/2008,88,3.9,Brittany Snow,J.S. Cardone,2008
Vivendi Entertainment,USA,Fatih Akin,Comedy,14700000,1585859,41273,"New York, I Love You",R,10/16/2009,103,6.3,Shia LaBeouf,Hu Hong,2008
Regency Enterprises,USA,Masayuki Ochiai,Horror,8000000,25926543,28640,Shutter,PG-13,3/21/2008,85,5.2,Joshua Jackson,Luke Dawson,2008
Rifkin-Eberts,USA,Marcel Langenegger,Crime,25000000,4597760,34378,Deception,R,4/25/2008,107,6.1,Hugh Jackman,Mark Bomback,2008
BBC Films,UK,John Maybury,Biography,0,28635,14339,The Edge of Love,R,6/20/2008,110,6.3,Keira Knightley,Sharman Macdonald,2008
Lakeshore Entertainment,USA,Ryûhei Kitamura,Horror,15000000,83361,51337,The Midnight Meat Train,R,8/7/2008,98,6.1,Vinnie Jones,Jeff Buhler,2008
Millennium Films,USA,Jon Avnet,Action,60000000,40081410,76498,Righteous Kill,R,9/12/2008,101,6,Robert De Niro,Russell Gewirtz,2008
Dimension Films,USA,Craig Mazin,Action,35000000,25871834,55389,Superhero Movie,PG-13,3/28/2008,75,4.5,Drake Bell,Craig Mazin,2008
Twentieth Century Fox Film Corporation,USA,Chris Carter,Drama,30000000,20981633,81648,The X Files: I Want to Believe,PG-13,7/25/2008,104,5.9,David Duchovny,Frank Spotnitz,2008
Berk/Lane Entertainment,USA,S.R. Bindler,Comedy,6000000,36497,7678,"Surfer, Dude",R,9/5/2008,100,4.7,Matthew McConaughey,S.R. Bindler,2008
Lionsgate,USA,Howard Deutch,Comedy,40000000,19219250,38869,My Best Friend's Girl,R,9/19/2008,101,5.9,Kate Hudson,Jordan Cahan,2008
Number 9 Films,UK,Robert B. Weide,Biography,27000000,2778752,63297,How to Lose Friends & Alienate People,R,10/3/2008,110,6.5,Simon Pegg,Peter Straughan,2008
Metro-Goldwyn-Mayer (MGM),USA,Marc Schölermann,Crime,8000000,108662,28065,Pathology,R,4/11/2008,95,6,Alyssa Milano,Mark Neveldine,2008
Geetha Arts,India,A.R. Murugadoss,Action,0,2411071,44436,Ghajini,Not specified,12/25/2008,100,7.3,Aamir Khan,Piyush Mishra,2008
Endgame Entertainment,USA,Rian Johnson,Adventure,20000000,3519627,43721,The Brothers Bloom,PG-13,6/19/2009,114,6.8,Rachel Weisz,Rian Johnson,2008
Armian Pictures,USA,Jonathan Demme,Drama,0,12796277,42934,Rachel Getting Married,R,11/7/2008,113,6.7,Anne Hathaway,Jenny Lumet,2008
Enlightenment Productions,UK,Shamim Sarif,Drama,0,39373,6352,I Can't Think Straight,PG-13,2008-11,82,6.7,Lisa Ray,Shamim Sarif,2008
Warner Bros.,USA,George C. Wolfe,Drama,30000000,41850659,19478,Nights in Rodanthe,PG-13,9/26/2008,97,6,Diane Lane,Ann Peacock,2008
Fandango,Italy,Matteo Garrone,Crime,0,1577639,40616,Gomorrah,NOT RATED,4/10/2009,137,7,Gianfelice Imparato,Roberto Saviano,2008
Screen Gems,USA,Gregory Hoblit,Crime,35000000,28687835,42864,Untraceable,R,1/25/2008,101,6.2,Diane Lane,Robert Fyvolent,2008
Alcon Entertainment,USA,Sanaa Hamri,Comedy,0,44087387,23813,The Sisterhood of the Traveling Pants 2,PG-13,8/6/2008,119,6.2,America Ferrera,Elizabeth Chandler,2008
2929 Productions,USA,James Gray,Drama,12000000,3148482,31508,Two Lovers,R,3/20/2009,110,7.1,Joaquin Phoenix,James Gray,2008
2929 Productions,USA,Guillermo Arriaga,Crime,20000000,200399,16366,The Burning Plain,R,7/23/2010,107,6.8,Charlize Theron,Guillermo Arriaga,2008
Dimension Films,USA,Malcolm D. Lee,Comedy,0,12081447,8179,Soul Men,R,11/7/2008,100,6.5,Samuel L. Jackson,Robert Ramsey,2008
Focus Features,UK,Bharat Nalluri,Comedy,0,12294036,23423,Miss Pettigrew Lives for a Day,PG-13,3/7/2008,92,7.1,Frances McDormand,David Magee,2008
The Weinstein Company,USA,John Madden,Crime,0,17007,19103,Killshot,R,9/4/2009,95,6,Thomas Jane,Hossein Amini,2008
Purple Pictures,USA,Tom Putnam,Comedy,9000000,27696,34253,The Hottie & the Nottie,PG-13,2/21/2008,91,1.9,Paris Hilton,Heidi Ferrer,2008
Paramount Pictures,USA,Steven Brill,Comedy,40000000,32853640,52554,Drillbit Taylor,PG-13,3/21/2008,110,5.7,Owen Wilson,Kristofor Brown,2008
Rhombus Media,Canada,Fernando Meirelles,Drama,25000000,3073392,62356,Ceguera,R,10/3/2008,121,6.6,Julianne Moore,José Saramago,2008
Castle Rock Entertainment,USA,Marcos Siega,Comedy,0,237958,29075,Chaos Theory,PG-13,10/16/2008,87,6.7,Ryan Reynolds,Daniel Taplitz,2008
Samuel Goldwyn Films,USA,Alex Kendrick,Drama,500000,33456317,18256,Fireproof,PG,9/26/2008,100,6.6,Kirk Cameron,Alex Kendrick,2008
Film4,UK,Mike Leigh,Comedy,0,3494485,33585,Happy-Go-Lucky,R,11/21/2008,118,7,Sally Hawkins,Mike Leigh,2008
Twisted Pictures,USA,Darren Lynn Bousman,Horror,8500000,140244,21319,Repo! The Genetic Opera,R,11/20/2008,98,6.7,Paul Sorvino,Darren Smith,2008
LightWave Entertainment,USA,Darnell Martin,Biography,12000000,8195551,16677,Cadillac Records,R,12/5/2008,109,7,Adrien Brody,Darnell Martin,2008
Ponty Up Pictures,Canada,Bruce McDonald,Fantasy,1500000,3478,24539,Pontypool,NOT RATED,9/18/2009,93,6.7,Stephen McHattie,Tony Burgess,2008
New Line Cinema,Germany,Seth Gordon,Comedy,80000000,120146040,52146,Ni en tu casa ni en la mía,PG-13,11/26/2008,88,5.6,Reese Witherspoon,Matt Allen,2008
DreamWorks,USA,David Koepp,Comedy,20000000,13214030,63093,Ghost Town,PG-13,9/19/2008,102,6.7,Ricky Gervais,David Koepp,2008
Broadway Video,USA,Michael McCullers,Comedy,30000000,60269340,36032,Baby Mama,PG-13,4/25/2008,100,6,Tina Fey,Michael McCullers,2008
Garbus Kroupa Entertainment,USA,James Bolton,Drama,1200000,6319,3250,Dream Boy,R,12/11/2008,90,6.2,Stephan Bender,James Bolton,2008
Universal Pictures,USA,George Clooney,Comedy,58000000,31199215,28721,Leatherheads,PG-13,4/4/2008,114,6,George Clooney,Duncan Brantley,2008
Gold Circle Films,USA,Jeff Lowell,Comedy,10000000,7563670,22072,Over Her Dead Body,PG-13,2/1/2008,95,5.2,Eva Longoria,Jeff Lowell,2008
Beijing Film Studio,China,John Woo,Action,0,627047,39046,Red Cliff,R,12/4/2009,150,7.4,Tony Chiu-Wai Leung,John Woo,2008
Wild Bunch,France,Steven Soderbergh,Biography,35000000,1731665,40064,Che: Part One,NOT RATED,1/24/2009,134,7.2,Julia Ormond,Peter Buchman,2008
Initial Entertainment Group (IEG),USA,Danny Pang,Action,40000000,15279680,50355,Bangkok Dangerous,R,9/5/2008,99,5.4,Nicolas Cage,Jason Richman,2008
Lionsgate,USA,David Moreau,Horror,12000000,31418697,46394,The Eye,PG-13,2/1/2008,98,5.4,Jessica Alba,Sebastian Gutierrez,2008
Paramount Pictures,UK,Marco Schnabel,Comedy,62000000,32235793,45014,The Love Guru,PG-13,6/20/2008,87,3.8,Mike Myers,Mike Myers,2008
Fox Searchlight Pictures,USA,Clark Gregg,Comedy,3000000,2926565,29460,Choke,R,9/26/2008,92,6.5,Sam Rockwell,Clark Gregg,2008
Lucasfilm Animation,USA,Dave Filoni,Animation,8500000,35161554,45749,Star Wars: The Clone Wars,PG,8/15/2008,98,5.9,Matt Lanter,Henry Gilroy,2008
Filmax International,UK,Brad Anderson,Crime,15000000,2203641,44948,Transsiberian,R,9/5/2008,111,6.7,Woody Harrelson,Brad Anderson,2008
Paramount Pictures,USA,Kimberly Peirce,Drama,25000000,10911750,18404,Stop-Loss,R,3/28/2008,112,6.5,Ryan Phillippe,Mark Richard,2008
Jackson Income Fund,USA,Michael Keaton,Crime,5000000,346286,2365,The Merry Gentleman,R,12/4/2009,110,6.6,Michael Keaton,Ron Lazzeretti,2008
Ecosse Films,UK,Julian Jarrold,Drama,20000000,6414563,10581,Brideshead Revisited,PG-13,8/15/2008,100,6.7,Matthew Goode,Andrew Davies,2008
Twentieth Century Fox Film Corporation,USA,Brian Robbins,Adventure,60000000,11802056,33540,Meet Dave,PG,7/11/2008,90,4.9,Eddie Murphy,Rob Greenberg,2008
Isabella Films B.V.,Netherlands,Martin Koolhoven,Drama,0,542860,10819,Oorlogswinter,R,11/27/2008,103,7,Martijn Lakemeier,Mieke de Jong,2008
Shocking Bottle,USA,Randall Miller,Comedy,5000000,4040588,13051,Bottle Shock,PG-13,9/5/2008,110,6.8,Chris Pine,Jody Savin,2008
Lookout Films,USA,Jason Freeland,Drama,0,19853,3113,Garden Party,NOT RATED,5/30/2008,88,5.6,Erik Smith,Jason Freeland,2008
Canal+ España,Spain,Álex de la Iglesia,Crime,10000000,3607,24282,The Oxford Murders,R,7/2/2010,104,6.1,Elijah Wood,Álex de la Iglesia,2008
Roadside Attractions,USA,Cyrus Nowrasteh,Drama,0,655647,15433,The Stoning of Soraya M.,R,5/13/2011,100,8,Shohreh Aghdashloo,Betsy Giffen Nowrasteh,2008
Overture Films,USA,Jeffrey Nachmanoff,Action,22000000,23530831,50958,Traitor,PG-13,8/27/2008,114,7,Don Cheadle,Jeffrey Nachmanoff,2008
Touchstone Pictures,USA,Joshua Michael Stern,Comedy,21000000,16284360,15740,Swing Vote,PG-13,8/1/2008,120,6.1,Kevin Costner,Jason Richman,2008
Barunson,South Korea,Jee-woon Kim,Action,10000000,128486,28325,The Good the Bad the Weird,R,7/17/2008,120,7.3,Kang-ho Song,Jee-woon Kim,2008
2929 Productions,USA,Barry Levinson,Comedy,25000000,1090947,24511,What Just Happened,R,10/31/2008,104,5.7,Robert De Niro,Art Linson,2008
Dimension Films,USA,Larry Bishop,Action,0,194287,14535,Hell Ride,R,1/17/2009,84,5.1,Larry Bishop,Larry Bishop,2008
Alcon Entertainment,Japan,Eric Valette,Horror,27000000,26876529,27947,One Missed Call,PG-13,1/4/2008,87,4,Edward Burns,Andrew Klavan,2008
Senator Entertainment Co,Germany,Gregor Jordan,Crime,18000000,300000,14783,The Informers,R,4/24/2009,98,5.1,Billy Bob Thornton,Bret Easton Ellis,2008
Bridgit Folman Film Gang,Israel,Ari Folman,Animation,1500000,2283276,48937,Waltz with Bashir,R,7/15/2009,90,8,Ari Folman,Ari Folman,2008
Exodus Film Group,USA,Tony Leondis,Animation,25000000,19528602,20476,Igor,PG,9/19/2008,87,6,John Cusack,Chris McKenna,2008
Pathé Renn Productions,France,Dany Boon,Comedy,0,1477650,33194,Welcome to the Sticks,NOT RATED,2/27/2008,106,7.1,Kad Merad,Dany Boon,2008
Pelican Productions LLC (I),USA,Fred Wolf,Adventure,20000000,6563357,19380,Strange Wilderness,R,2/1/2008,100,5.3,Steve Zahn,Peter Gaulke,2008
Universal Pictures,UK,Sam Fell,Animation,60000000,50877145,32512,The Tale of Despereaux,G,12/19/2008,93,6.1,Matthew Broderick,Kate DiCamillo,2008
Constantin Film,Germany,Uli Edel,Action,0,476270,31532,The Baader Meinhof Complex,R,9/25/2008,150,7.4,Martina Gedeck,Bernd Eichinger,2008
Harbinger Pictures,USA,Tate Taylor,Comedy,0,6537,1567,Pretty Ugly People,R,4/12/2008,99,5,Missi Pyle,Tate Taylor,2008
"Tyler Perry Company, The",USA,Tyler Perry,Comedy,0,41939392,5913,Meet the Browns,PG-13,3/21/2008,100,4.1,Tamela J. Mann,Tyler Perry,2008
Edward R. Pressman Film,USA,Simon Hunter,Action,25000000,6820,24230,Mutant Chronicles,R,1/8/2010,111,5.2,Thomas Jane,Philip Eisner,2008
CinemaNX,UK,Richard Linklater,Drama,25000000,1186957,9720,Me and Orson Welles,PG-13,12/18/2009,114,6.8,Zac Efron,Robert Kaplow,2008
Occupant Entertainment,UK,Jonathan Levine,Comedy,6000000,2077116,28052,The Wackness,R,8/1/2008,99,7,Josh Peck,Jonathan Levine,2008
Nimbus Film Productions,Denmark,Ole Christian Madsen,Drama,0,145109,15298,Flame & Citron,NOT RATED,3/28/2008,130,7.3,Thure Lindhardt,Lars Kristian Andersen,2008
Walt Disney Pictures,USA,Roger Kumble,Adventure,0,45588608,13864,College Road Trip,G,3/7/2008,83,4.3,Raven-Symoné,Emi Mochizuki,2008
Mandeville Films,USA,Raja Gosnell,Adventure,20000000,94514402,18775,Beverly Hills Chihuahua,PG,10/3/2008,91,3.7,Drew Barrymore,Analisa LaBianco,2008
Lago Film,USA,Jennifer Lynch,Crime,3500000,27349,15448,Surveillance,R,4/24/2009,97,6.4,Julia Ormond,Kent Harper,2008
Go Films,USA,Ryan Little,Drama,0,630649,9361,Forever Strong,PG-13,9/26/2008,100,7.3,Sean Faris,David Pliler,2008
Huntington Prep,USA,Mickey Liddell,Drama,5000000,13350177,8232,The Haunting of Molly Hartley,PG-13,10/31/2008,82,3.9,Haley Bennett,John Travis,2008
Warp X,UK,Oliver Blackburn,Crime,0,18378,9738,Donkey Punch,R,7/18/2008,99,5.2,Sian Breckin,Oliver Blackburn,2008
Screen Gems,USA,David E. Talbert,Comedy,0,37931869,8271,First Sunday,PG-13,1/11/2008,100,4.3,Ice Cube,David E. Talbert,2008
Big City Pictures,USA,Callie Khouri,Comedy,22000000,20668843,17753,Mad Money,PG-13,1/18/2008,104,5.8,Diane Keaton,Glenn Gers,2008
Universal Pictures,USA,Malcolm D. Lee,Comedy,35000000,42436517,11439,"Welcome Home, Roscoe Jenkins",PG-13,2/8/2008,100,5.4,Martin Lawrence,Malcolm D. Lee,2008
Haut et Court,France,Laurent Cantet,Drama,0,3766595,30748,The Class,PG-13,3/13/2009,128,7.5,François Bégaudeau,Laurent Cantet,2008
Kulture Machine,USA,Dennis Lee,Drama,8000000,3393161,11269,Fireflies in the Garden,R,11/13/2009,99,6.5,Ryan Reynolds,Robert Frost,2008
40 Acres & A Mule Filmworks,USA,Spike Lee,Action,45000000,7916887,16239,Miracle at St. Anna,R,9/26/2008,160,6,Derek Luke,James McBride,2008
