company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
A&M; Films,USA,Savage Steve Holland,Comedy,0,13431806,11581,One Crazy Summer,PG,8/8/1986,93,6.4,John Cusack,Savage Steve Holland,1986
De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,0,6797218,4585,Trick or Treat,R,10/24/1986,98,5.8,Marc Price,Rhet Topham,1986
Paramount Pictures,USA,Ron Howard,Comedy,18000000,36611610,9965,Gung Ho,PG-13,3/14/1986,112,6.2,Michael Keaton,Edwin Blum,1986
American Filmworks,USA,Sidney Lumet,Crime,0,25147055,4943,The Morning After,R,12/25/1986,103,6,Jane Fonda,James Cresson,1986
Police Academy Productions,USA,Jerry Paris,Comedy,0,43579163,35443,Police Academy 3: Back in Training,PG,3/21/1986,83,5.2,Steve Guttenberg,Neal Israel,1986
40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,175000,7137502,5257,She's Gotta Have It,R,8/8/1986,84,6.6,Tracy Camilla Johns,Spike Lee,1986
Touchstone Pictures,USA,Jim Abrahams,Comedy,0,71624879,22554,Ruthless People,R,6/27/1986,93,6.9,Bette Midler,Dale Launer,1986
Delphi V Productions,USA,Paul Michael Glaser,Action,8700000,4865912,2297,Band of the Hand,R,4/11/1986,109,6.3,Stephen Lang,Leo Garen,1986
Cannon Group,USA,John Frankenheimer,Crime,0,5186646,3866,52 Pick-Up,R,11/7/1986,110,6.4,Roy Scheider,Elmore Leonard,1986
Paramount Pictures,USA,Randa Haines,Drama,0,31853080,12538,Children of a Lesser God,R,10/31/1986,119,7.2,William Hurt,Mark Medoff,1986
Columbia Pictures Corporation,USA,Mark L. Lester,Action,12000000,15945534,9040,Armed and Dangerous,PG-13,8/15/1986,88,5.6,John Candy,Brian Grazer,1986
Black Snake,USA,Jim Jarmusch,Comedy,1100000,1436000,39456,Down by Law,R,10/30/1986,107,7.8,Tom Waits,Jim Jarmusch,1986
Orion Pictures,USA,Robert Mandel,Action,10000000,20603715,14502,F/X,R,2/7/1986,109,6.7,Bryan Brown,Robert T. Megginson,1986
Fuji Television Network,Japan,Masanori Hata,Adventure,0,13245219,9178,The Adventures of Milo and Otis,G,8/25/1989,90,7.1,Kyôko Koizumi,Masanori Hata,1986
Religioso Primitiva,USA,Jonathan Demme,Comedy,0,8362969,13186,Something Wild,R,11/7/1986,114,6.9,Jeff Daniels,E. Max Frye,1986
Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,18000000,3900000,4666,The Manhattan Project,PG-13,6/13/1986,117,6.1,John Lithgow,Marshall Brickman,1986
Paramount Pictures,USA,Fred Walton,Horror,5000000,12947763,11458,April Fool's Day,R,3/28/1986,89,6.2,Deborah Foreman,Danilo Bach,1986
Brooksfilms,USA,Alan Johnson,Action,25000000,1579260,3397,Solarbabies,PG-13,11/26/1986,94,4.8,Richard Jordan,Walon Green,1986
Kings Road Entertainment,USA,Jim McBride,Comedy,0,17685307,10022,The Big Easy,R,8/28/1987,102,6.6,Dennis Quaid,Daniel Petrie Jr.,1986
Lawrence Gordon Productions,USA,Penny Marshall,Comedy,0,25587804,15703,Jumpin' Jack Flash,R,10/10/1986,105,5.8,Whoopi Goldberg,David Franzoni,1986
Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,40000000,1641825,6596,Piratas,PG-13,7/18/1986,121,6.1,Walter Matthau,John Brownjohn,1986
Meltdown Productions,UK,Jimmy T. Murakami,Animation,0,5274,7900,When the Wind Blows,Not specified,3/11/1988,80,7.8,Peggy Ashcroft,Raymond Briggs,1986
Touchstone Pictures,USA,Jeff Kanew,Comedy,10000000,21458229,5584,Tough Guys,PG,10/3/1986,104,6.2,Burt Lancaster,James Orr,1986
Compañía Iberoamericana de TV,Spain,Pedro Almodóvar,Drama,0,206952,8959,Matador,NC-17,3/7/1986,110,7,Assumpta Serna,Pedro Almodóvar,1986
New World Pictures,USA,Harley Cokeliss,Action,0,6637565,4045,Black Moon Rising,R,1/10/1986,100,5.4,Tommy Lee Jones,John Carpenter,1986
Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,12000000,7790931,5523,The Best of Times,PG-13,1/31/1986,104,5.9,Robin Williams,Ron Shelton,1986
Paragon Arts International,UK,Kevin Tenney,Horror,2000000,7369373,4744,Witchboard,R,3/13/1987,98,5.7,Todd Allen,Kevin Tenney,1986
Touchstone Pictures,USA,Paul Mazursky,Comedy,14000000,62134225,13569,Down and Out in Beverly Hills,R,1/31/1986,103,6.1,Nick Nolte,René Fauchois,1986
Capital Equipment Leasing,UK,Trevor Nunn,Biography,8500000,277646,5364,Lady Jane,PG-13,2/7/1986,136,7.2,Helena Bonham Carter,Chris Bryant,1986
Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,0,7634909,3720,Quicksilver,PG,2/14/1986,105,5.6,Kevin Bacon,Thomas Michael Donnelly,1986
Sunbow Productions,USA,Mike Joens,Animation,0,5958456,2125,My Little Pony: The Movie,G,6/6/1986,86,6,Danny DeVito,George Arthur Bloom,1986
Virgin Vision,UK,Ken Russell,Horror,0,916172,5843,Gothic,R,4/10/1987,87,5.7,Gabriel Byrne,Lord Byron,1986
Producers Sales Organization (PSO),USA,Hal Ashby,Action,18000000,1305114,3607,8 Million Ways to Die,R,4/25/1986,115,5.7,Jeff Bridges,Lawrence Block,1986
TriStar Pictures,USA,Richard Pearce,Crime,0,12303904,5564,No Mercy,R,12/19/1986,106,5.7,Richard Gere,James Carabatsos,1986
Orion Pictures,USA,Gene Wilder,Comedy,0,8033397,5549,Haunted Honeymoon,PG,7/25/1986,82,5.6,Gene Wilder,Gene Wilder,1986
Empire Pictures,USA,Ted Nicolaou,Comedy,0,320256,4620,TerrorVision,R,2/14/1986,83,5.7,Diane Franklin,Ted Nicolaou,1986
Golan-Globus Productions,USA,Gary Nelson,Action,0,3751699,7491,Allan Quatermain and the Lost City of Gold,PG,1/30/1987,99,4.4,Richard Chamberlain,H. Rider Haggard,1986
HandMade Films,UK,Neil Jordan,Crime,0,5794184,10747,Mona Lisa,R,6/13/1986,104,7.4,Bob Hoskins,Neil Jordan,1986
Delphi Films,USA,Garry Marshall,Comedy,0,32324557,5345,Nothing in Common,PG,7/30/1986,118,5.9,Tom Hanks,Rick Podell,1986
Cannon Group,USA,J. Lee Thompson,Action,8000000,11834302,4752,Firewalker,PG,11/21/1986,104,5,Chuck Norris,Robert Gosnell,1986
Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,0,483460,2649,Castaway,R,9/11/1987,117,6,Oliver Reed,Lucy Irvine,1986
Amaretto Films,USA,Richard Wenk,Comedy,3300000,4941117,3909,Vamp,R,7/18/1986,93,5.9,Chris Makepeace,Donald P. Borchers,1986
British Film Institute (BFI),UK,Derek Jarman,Biography,0,3151,4072,Caravaggio,Not specified,8/29/1986,93,6.7,Noam Almaz,Derek Jarman,1986
Les Films Plain Chant,France,Leos Carax,Crime,0,21483,4922,Mauvais Sang,UNRATED,11/26/1986,116,7.3,Michel Piccoli,Leos Carax,1986
Paramount Pictures,USA,Duncan Gibbins,Drama,0,4636169,1264,Fire with Fire,PG-13,5/9/1986,103,6.6,Craig Sheffer,Bill Phillips,1986
Warner Bros.,USA,Harold Ramis,Comedy,15000000,12308521,5049,Club Paradise,PG-13,7/11/1986,96,4.9,Robin Williams,Harry Shearer,1986
Universal Pictures,USA,Ivan Reitman,Comedy,40000000,49851591,8374,Legal Eagles,PG,6/20/1986,116,5.9,Robert Redford,Ivan Reitman,1986
Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,0,1476356,9689,Clockwise,PG,10/10/1986,96,6.6,John Cleese,Michael Frayn,1986
Atlantic Entertainment Group,USA,Robert M. Young,Drama,0,13418091,2705,Extremities,R,8/22/1986,89,6.3,Farrah Fawcett,William Mastrosimone,1986
Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,13000000,8475466,4573,Wise Guys,R,4/18/1986,100,5.6,Danny DeVito,George Gallo,1986
Atlantic Entertainment Group,USA,Peter Medak,Drama,0,2444076,680,The Men's Club,R,9/19/1986,101,4.5,David Dukes,Leonard Michaels,1986
DD Productions,Switzerland,Claude Berri,Drama,0,4940939,20914,Jean de Florette,PG,8/28/1987,120,8.1,Yves Montand,Claude Berri,1986
Balcor Film Investors,USA,Tom DeSimone,Drama,0,2510433,1717,Reform School Girls,R,8/22/1986,94,5.2,Linda Carol,Jack Cummins,1986
DD Productions,Switzerland,Claude Berri,Drama,0,3940542,17849,Manon of the Spring,PG,12/4/1987,113,8,Yves Montand,Claude Berri,1986
HandMade Films,UK,Jim Goddard,Adventure,17000000,2315683,4339,Shanghai Surprise,PG-13,8/29/1986,97,3.1,Sean Penn,John Kohn,1986
